Descrizione;Indice PC;Ubicazione;Lunghezza;Sismicit… associata;Classificazione Finale
Faglie OSO-ENE, NO-SE e O-E;F20_PC5;Eolo-Enarete;6;4;10
Lineamento Tettonico Capo Rama.;F25_PC8;Palermo;6;4;10
Lineamento tettonico Punta Cavazzi.;F26_PC1;Ustica;6;4;10
Lineamento tettonico a SSO Marettimo;F28_PC1;Egadi;6;4;10
Faglia Scarpata di Malta;F32_PC1;Siracusa;6;4;10
Lineamento tettonico Gondola;F53_PC1;Gargano;6;4;10
Lineamento Tettonico settore NE-SW;F24_PC3;Cefalu;3;4;7
Lineamento Tettonico Punta Raisi.;F25_PC10;Palermo;3;4;7
Faglie a nord de La Barra.;F25_PC11;Palermo;3;4;7
Lineamento Tettonico Isola delle Femmine.;F25_PC9;Palermo;3;4;7
Faglia di Santa Eufemia.;F14_PC3;Lamezia Terme;3;4;7
Faglie a Nord Canyon Angitola.;F14_PC4;Lamezia Terme;6;0;6
Horst a nord di Alicudi;F19_PC2;Alicudi;6;0;6
Faglie apparato vulcanico Enarete;F20_PC1;Eolo-Enarete;6;0;6
Sistema di faglie settore ONO-ESE e N-S;F22_PC1;Vavilov;6;0;6
Lineamento tettonico tra Capo Gallo e la Baia di Carini.;F25_PC7;Palermo;6;0;6
Faglie a nord del vulcano ;F29_PC6;Vulcano Palinuro;6;0;6
Faglie attive Canyon Bovalino;F36_PC2;Siderno;6;0;6
Scarpata di Faglia ovest;F47_PC1;Santa Maria di Leuca;6;0;6
Scarpata di Faglia;F47_PC2;Santa Maria di Leuca;6;0;6
Faglie attive dell'Alto di Finale ;F23_PC1;S Agata di Militello;0;4;4
Lineamento Tettonico Isola delle Femmine;F25_PC12;Palermo;0;4;4
Lineamento tettonico Banco Scuso.;F27_PC2;Trapani;0;4;4
Lineamento tettonico tra Tonnara del Secco e C. Firriato.;F27_PC4;Trapani;0;4;4
Lineamento tettonico a NE Marettimo;F28_PC2;Egadi;0;4;4
Lineamento tettonico a NE Marettimo;F28_PC3;Egadi;0;4;4
Faglie sulla dorsale di Riposto ;F33_PC3;Catania;0;4;4
Faglie tra Acireale e Capo Mulini;F33_PC5;Catania;0;4;4
Faglie Acitrezza;F33_PC6;Catania;0;4;4
Faglie attive Canyon Bovalino;F36_PC3;Siderno;0;4;4
Lineamento tettonico settore meridionale;F62_PC2;San Antioco;3;0;3
Faglie-fuoriuscita di fluidi Panarea;F16_PC4;Panarea;0;0;0
