Descrizione;Indice PC;Ubicazione;Diametro massimo;Profondit…;Classificazione Finale
Depressioni - fuoriuscita di fluidi settore NW;F5_PC1;Ponza;5;5;10
Depressioni - fuoriuscita di fluidi settore E;F5_PC2;Ponza;5;5;10
Area depressa Cilento;F10_PC2;Cilento;5;2.5;7.5
Affioramenti rocciosi, risalite di gas Capo Spartivento;F35_PC7;Capo Spartivento;0;5;5
Pockmark Pischeredda;F64_PC1;Oristano;5;0;5
Pockmark Alghero ;F68_PC1;Alghero;5;0;5
Pockmark Capo Caccia;F68_PC2;Alghero;5;0;5
Golfo di Pozzuoli;F7_PC6;Napoli;0;5;5
Apparato vulcanico Bocca dei Pescatori;F8_PC1;Napoli;0;5;5
Depressioni - fuoriuscita di fluidi (Zannone);F5_PC3;Ponza;2.5;0;2.5
Pockmark Piscinas;F65_PC2;Oristano;2.5;0;2.5
Pockmark Capo Caccia;F67_PC1;Alghero;2.5;0;2.5
Frane superficiali, Pockmark;F67_PC2;Alghero;0;0;0
